text,label
ờm lãi tiết kiệm 60k vừa xong,Đầu tư
05-05-2026 ủng hộ 18k á,Từ thiện
phí quản lý chung cư 200k,Hóa đơn
nộp phí bảo hiểm nhân thọ 3tr,Hóa đơn
tặng quà tết 25.000đ vừa chi,Quà tặng
ờm chi phí sửa xe 50k vnd luôn,Di chuyển
vừa chi thưởng dự án 8tr xong,Thưởng
tối qua cho thuê 12tr nhé,Đầu tư
trả wifi 150k haiz,Hóa đơn
05-05-2026 game 200k á,Giải trí
cuối tuần payroll 35k rồi,Lương
cuối tháng trả vitamin 180k thật,Sức khỏe
tiền từ lãi crypto 800k vừa chi,Đầu tư
05-05-2026 trả từ thiện 180k nhé,Từ thiện
thu lãi crypto 180k,Đầu tư
"cuối tháng ủng hộ 1,5tr",Từ thiện
cuối tháng trả lãi tiết kiệm 55k,Đầu tư
ờm gia sư 50.000 haiz,Giáo dục
mua gối nằm bông 200k,Nhà ở
"chốt đơn giày 1,5tr lần này",Mua sắm
cuối tuần trả HR chuyển 50000 luôn,Lương
phí chuyển tiền ngân hàng 10k,Hóa đơn
cuối tuần tk nhận tiền tháng 1tr luôn,Lương
ờm cưới 25k lần này,Quà tặng
cuối tuần trả website 70k vừa xong,Freelance
nhận tiền mừng cưới 2tr,Thu nhập khác
vừa nhận khoản hỗ trợ 120k thật,Thu nhập khác
trả cổ tức 450k vừa xong,Đầu tư
trả tiền vé xe bus 400k,Di chuyển
cuối tuần Du lịch 5tr hơi đau ví,Du lịch
cuối tuần chi sinh nhật 50kđ xong,Quà tặng
đóng điều hòa 28k,Nhà ở
khách ck 200k thật,Bán hàng
thanh toán phí không rõ 120.000đ,Khác
sinh hoạt gia đình 20k (2026),Gia đình
tháng này bán đồ cũ 50k vnd,Bán hàng
tối qua thưởng tết 350k rồi,Thưởng
tháng này thanh toán hóa đơn điện thoại 900k thật,Hóa đơn
tháng này chuyển khoản nhận từ khách hàng 5tr thật,Bán hàng
ờm trả tiêm phòng 35k lần này,Thú cưng
hôm nay nhận mừng 2tr thật,Thu nhập khác
nhận lương tháng 10 công ty FPT 10tr,Lương
nhận khoản hỗ trợ 5tr rồi,Thu nhập khác
mua sữa cho em bé 400k,Gia đình
hôm nay chi hoàn tiền 600k vừa xong,Thu nhập khác
claim tiền taxi khách hàng 12tr,Di chuyển
cuối tháng refund 250k lần này,Thu nhập khác
"cuối tháng thanh toán grab bike 1,5tr lần này",Di chuyển
ờm website 500k đấy,Freelance
chi phí tài liệu ôn 15tr,Giáo dục
"vừa cơm tấm 1,5tr đấy",Ăn uống
05-05-2026 chi cọc trả lại 40k haiz,Thu nhập khác
tiền về quê 200k xong,Gia đình
cuối tuần canteen 18k vừa xong,Ăn uống
phí bảo hiểm nhân thọ 20tr,Hóa đơn
vừa chụp ảnh 450k rồi,Freelance
05-05-2026 incentive 100k,Thưởng
set quà sức khỏe tặng ba mẹ 1tr,Quà tặng
tháng này chi lãi tiết kiệm 10tr vừa xong,Đầu tư
phong bì gấu bông 12tr,Quà tặng
ờm học phí 150k vừa xong,Giáo dục
du lịch Cần Thơ vé máy bay 60k,Du lịch
cuối tháng trả ủng hộ 20k thật,Từ thiện
chi ủng hộ 1tr xong,Từ thiện
ờm incentive 45k thật,Thưởng
trả tiền vé xe bus 2tr5,Di chuyển
cuối tháng chi Du lịch 80k hơi đau ví,Du lịch
hôm nay trả tết 450k nhé,Quà tặng
ủng hộ tổ chức WWF bảo vệ động vật 200k,Từ thiện
hôm nay trả quyên góp 100k rồi,Từ thiện
mua balo 20k,Mua sắm
hình như tiền được tặng 1tr5 rồi,Thu nhập khác
tháng này chi payroll 450k,Lương
05-05-2026 trả cát mèo 700k luôn,Thú cưng
ờm đi bệnh viện 1tr2 vừa xong,Sức khỏe
05-05-2026 chi sinh nhật 50k vnd hơi đau ví,Quà tặng
tiền freelance về 5tr,Freelance
chuồng nuôi 10tr lần này,Thú cưng
hôm nay mượn bạn 600k trả lại rồi,Khác
"ờm trả thưởng tết 1,5tr",Thưởng
chi phí linh tinh 200k thật,Khác
cuối tuần phí ngân hàng hàng tháng 50k đấy,Hóa đơn
du lịch Đà Lạt vé máy bay 40k,Du lịch
du lịch Cần Thơ vé tham quan 5tr,Du lịch
vừa trả nội thất 300k thật,Nhà ở
cơm bình dân buổi trưa 35k,Ăn uống
thu lãi crypto 70k (2026),Đầu tư
"cuối tuần chi thuê trọ 50,000 vừa xong",Nhà ở
tháng này chi thuốc 100k nhé,Sức khỏe
cuối tuần game 50000 vừa xong,Giải trí
chuyển khoản tã bỉm 180k vừa chi,Gia đình
ờm mua thuốc cho mình 15k,Sức khỏe
cuối tháng trả sinh nhật 600k luôn,Quà tặng
tháng này chi khóa học 250k lần này,Giáo dục
cuối tuần trái phiếu 40k hơi đau ví,Đầu tư
ờm trả Du lịch 60k á,Du lịch
tối qua chi nha khoa 15k hơi đau ví,Sức khỏe
cuối tháng chi lãi tiết kiệm 900k lần này,Đầu tư
tháng này doanh thu bán online 15 triệu rồi,Bán hàng
hôm nay trả linh tinh 50k xong,Khác
mua balo du học 1tr2,Mua sắm
tối qua chi video 800k haiz,Freelance
tháng này cưới 100k haiz,Quà tặng
cát mèo 50kđ hơi đau ví,Thú cưng
chi bán đồ cũ 2tr5 haiz,Bán hàng
cuối tuần chi lãi tiết kiệm 15tr haiz,Đầu tư
ờm trả trái phiếu 18k đấy,Đầu tư
tối qua nấu pizza 80k vừa xong,Ăn uống
"ờm chi content 50,000",Freelance
dọn dẹp vệ sinh nhà 200k,Nhà ở
cuối tháng trả video 15k vừa xong,Freelance
tối qua Du lịch 40k haiz,Du lịch
nhận tiền mừng cưới 500k,Thu nhập khác
thanh toán photo 100k,Khác
hình như tiền trang trải sinh hoạt 3tr đấy,Khác
cuối tuần trả nhận mừng 5tr nhé,Thu nhập khác
thanh toán đặt cọc 22k,Khác
tháng này thức ăn chó 50.000 á,Thú cưng
cuối tuần cho thuê 10tr hơi đau ví,Đầu tư
vừa chi lãi tiết kiệm 60k haiz,Đầu tư
