image_path,text,conf,merchant,source
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__00.png,16:24I KCO,0.879,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__01.png,hanh toán,0.9711,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__02.png,Kit quá thanh toán,0.9237,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__03.png,,0.0,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__04.png,Giao dịch thành công,0.9753,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__05.png,1.573.000,0.9998,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__06.png,Số tiền thanh toán,0.9646,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__07.png,Mã giao 11334475050564,0.9514,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__08.png,dch,0.987,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__09.png,Srcsrrerrcurcercaracorcoacrc00,0.5814,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__10.png,Trng thài Thanh toán thành công,0.9773,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__11.png,Srcsrrerrcurcercaracorcoacrc00,0.5814,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__12.png,Ngày thanh203/2026 16:235,0.9607,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__13.png,rrcsrrsrrrtrrrtrrrtrrtrrrtrrtrrtrrrtrrrtrrrtrr,0.7397,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__14.png,Ngàn hàngIDV,0.9726,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__15.png,rrcsrrsrrrtrrrtrrrtrrtrrrtrrtrrtrrrtrrrtrrrtrr,0.7397,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__16.png,Mãs nh0A45967,0.8228,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__17.png,Gsairrursstrsrrsrrtrrrtrrttrrttrrttrttrrr,0.5514,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__18.png,Ten sinh,0.93,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__19.png,Wenu son Ha,0.9101,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__20.png,Vsrrrrrrrrrtrrrrrrrrrrrrrrrrrrrrrr,0.6399,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__21.png,Lêp hoc CNT,0.9244,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__22.png,Vsrrrrrrrrrtrrrrrrrrrrrrrrrrrrrrrr,0.6399,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__23.png,Khoa Kkhoa Kinh te va Quan by xay dung,0.9371,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__24.png,Vsrrrrrrrrrtrrrrrrrrrrrrrrrrrrrrrr,0.6399,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__25.png,Ngành inh tê xày ung,0.9103,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__26.png,Vsrrrrrrrrrtrrrrrrrrrrrrrrrrrrrrrr,0.6399,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__d0c04296-0bcd-4bc6-9d92-2666a0971b56__27.png,,0.0,BIDV,d0c04296-0bcd-4bc6-9d92-2666a0971b56.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__00.png,,0.0,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__01.png,,0.0,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__02.png,EIVO K,0.7099,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__03.png,BIDYS,0.7675,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__04.png,2.000.000 V,0.9593,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__05.png,04/06/2026 21:14:47,0.9815,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__06.png,ả ATUTUILIANG,0.8246,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__07.png,1e: TU TTI THIU TUCING,0.8752,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__08.png,Tai: Q NHTMCP Cờng Thuong VN,0.9281,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__09.png,Nội dung,0.9533,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__10.png,DUONG HAI VEN Chuyen tien,0.9472,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__11.png,Số tham chiếu,0.9709,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__12.png,020097048806042114472026614478582,0.9851,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__13.png,,0.0,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__14.png,,0.0,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__15.png,Chla Sá Luu ành Gii thiếu,0.9547,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__16.png,Kh mếi,0.9068,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__17.png,C ingnh C oa coune,0.8461,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/BIDV__z7901374780659_9d354bf2f7c0cdb1830a1d1c4__18.png,,0.0,BIDV,z7901374780659_9d354bf2f7c0cdb1830a1d1c4dec13e5.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__00.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__01.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__02.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__03.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__04.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__05.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__06.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__07.png,K MB,0.9417,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__08.png,Chuyển tiền thành công!,1.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__09.png,170.000 VND,1.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__10.png,09.27-06/03/2026,0.9594,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__11.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__12.png,THÀNH TIỀN DAI,0.9432,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__13.png,8 Techcombenk TCBy,0.9503,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__14.png,G709200599999,0.948,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__15.png,TRAN HOANG HIEU chuyen tien,0.964,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__16.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__17.png,Gieo dịch được xửc nhận bối MB,0.9545,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__18.png,Mui long khàng chinh sốc hinh đành này,0.9333,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__19.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__20.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__23f70f06-6440-4330-b401-ab8844fdefce__21.png,,0.0,MB,23f70f06-6440-4330-b401-ab8844fdefce.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__00.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__01.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__02.png,Chuyển tiền thành công!,1.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__03.png,150.000 VND,1.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__04.png,10:13- 20/05/2026,0.9698,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__05.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__06.png,VU SON HA,0.8962,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__07.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__08.png,104876354510,0.9857,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__09.png,NGO DOAN ANH DUC chuyen tien,0.9566,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__10.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__11.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__12.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__13.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__14.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
images/MB__28b74a1e-0b6c-4246-9127-ed4cd65e03f2__15.png,,0.0,MB,28b74a1e-0b6c-4246-9127-ed4cd65e03f2.jpg
